,TF,target,importance
0,HLA-DRB4,HLA-DRB4,1.0
1,HLA-DQA1,HLA-DRB4,-0.6813250470309283
2,HLA-DQB1,HLA-DRB4,-0.8715946687067998
3,IL1R2,HLA-DRB4,-0.27049508520826265
4,IL32,HLA-DRB4,0.38519127218026944
5,FCER1A,HLA-DRB4,0.4853978537975865
6,IL8,HLA-DRB4,0.9788034524240584
7,LTF,HLA-DRB4,-0.3356625471140728
8,ARG1,HLA-DRB4,-0.3446601521407339
9,EGR1,HLA-DRB4,-0.027520938167459843
10,CHIT1,HLA-DRB4,-0.23381063336797475
11,CEACAM6,HLA-DRB4,-0.2742117955287657
12,PTGS2,HLA-DRB4,0.929266690211046
13,PTGDR2,HLA-DRB4,0.4465658159293042
14,IL3RA,HLA-DRB4,0.971029111235334
15,FLT3,HLA-DRB4,-0.4169567933307949
16,CEACAM8,HLA-DRB4,-0.3362940897313353
17,IDO1,HLA-DRB4,-0.08762103481097917
18,FN1,HLA-DRB4,-0.38057692820398376
19,FOS,HLA-DRB4,0.6947075585383217
20,C3AR1,HLA-DRB4,-0.5616691443417144
21,EGR2,HLA-DRB4,0.3337809891149719
22,USP9Y,HLA-DRB4,-0.25104832690643475
23,C1QB,HLA-DRB4,-0.5461114148371513
24,LCN2,HLA-DRB4,-0.18150882725324266
25,CXCL1,HLA-DRB4,0.8822594985201239
26,CTSG,HLA-DRB4,-0.27059283412335844
27,SPACA3,HLA-DRB4,-0.31259253059609543
28,CD27,HLA-DRB4,-0.34693186504552137
29,CAMP,HLA-DRB4,-0.2690656480398727
30,LRRN3,HLA-DRB4,-0.11080326175649212
31,IL1R1,HLA-DRB4,-0.001320658599838988
32,SLC11A1,HLA-DRB4,0.02361844609750615
33,F2RL1,HLA-DRB4,0.2573921321732589
34,SERPING1,HLA-DRB4,-0.06896664030977902
35,TCF7,HLA-DRB4,-0.31572252603450424
36,HLA-DRB4,HLA-DQA1,-0.6813250470309283
37,HLA-DQA1,HLA-DQA1,1.0
38,HLA-DQB1,HLA-DQA1,0.8045228418073844
39,IL1R2,HLA-DQA1,-0.4536928454494579
40,IL32,HLA-DQA1,-0.337471058979657
41,FCER1A,HLA-DQA1,0.2558950795714484
42,IL8,HLA-DQA1,-0.6718843773751402
43,LTF,HLA-DQA1,-0.2598150210884068
44,ARG1,HLA-DQA1,-0.3551691957635341
45,EGR1,HLA-DQA1,-0.5470973512849214
46,CHIT1,HLA-DQA1,-0.267603533735057
47,CEACAM6,HLA-DQA1,-0.2837929046746161
48,PTGS2,HLA-DQA1,-0.8743060929268598
49,PTGDR2,HLA-DQA1,0.08038105905397612
50,IL3RA,HLA-DQA1,-0.5027607704517182
51,FLT3,HLA-DQA1,-0.2312300781104198
52,CEACAM8,HLA-DQA1,-0.2514421107913838
53,IDO1,HLA-DQA1,0.7642627099651976
54,FN1,HLA-DQA1,-0.04678742359605115
55,FOS,HLA-DQA1,-0.9234351790395362
56,C3AR1,HLA-DQA1,0.23066088484706704
57,EGR2,HLA-DQA1,-0.4854896435367839
58,USP9Y,HLA-DQA1,-0.15532989384280474
59,C1QB,HLA-DQA1,0.6315272766720164
60,LCN2,HLA-DQA1,-0.4118535802561707
61,CXCL1,HLA-DQA1,-0.9299457449963442
62,CTSG,HLA-DQA1,-0.3686382331693344
63,SPACA3,HLA-DQA1,-0.08950998711701877
64,CD27,HLA-DQA1,0.8664078890519684
65,CAMP,HLA-DQA1,-0.3155713644727385
66,LRRN3,HLA-DQA1,0.6178096358203882
67,IL1R1,HLA-DQA1,-0.49584399775095594
68,SLC11A1,HLA-DQA1,-0.7305502708189515
69,F2RL1,HLA-DQA1,-0.8599574778560941
70,SERPING1,HLA-DQA1,0.7110173106787087
71,TCF7,HLA-DQA1,0.8820714782861175
72,HLA-DRB4,HLA-DQB1,-0.8715946687067998
73,HLA-DQA1,HLA-DQB1,0.8045228418073844
74,HLA-DQB1,HLA-DQB1,1.0
75,IL1R2,HLA-DQB1,-0.08772587027437838
76,IL32,HLA-DQB1,-0.05245567866155939
77,FCER1A,HLA-DQB1,-0.12738802795747595
78,IL8,HLA-DQB1,-0.8203422277088186
79,LTF,HLA-DQB1,-0.15997334452836653
80,ARG1,HLA-DQB1,-0.09797467483610972
81,EGR1,HLA-DQB1,-0.4431028386418872
82,CHIT1,HLA-DQB1,-0.27242384555999377
